CASE ID,Activity,current
20186003161,Request deleted,11695247.0
20186003298,Request completed with account closure,11395897.0
20186003416,Request completed with account closure,10929795.0
20186004559,Request completed with account closure,11378564.0
20186004592,Request completed with account closure,641914.0
20186004911,Request completed with account closure,7280623.0
20186005023,Request completed with account closure,2042411.0
20186005165,Request completed with account closure,241350.0
20186005287,Request completed with account closure,11551121.0
20186005307,Request completed with account closure,13537139.0
20186005350,Request completed with account closure,8181590.0
20186005389,Request completed with account closure,14051050.0
20186005667,Request completed with account closure,10951794.0
20186005701,Request completed with account closure,8033734.0
20186005777,Request deleted,8654903.0
20186005840,Request completed with account closure,19576663.0
20186005846,Request completed with account closure,8288023.0
20186005938,Request completed with account closure,11443520.0
20186006155,Request completed with account closure,9586848.0
20186006207,Request deleted,4672.0
20186006218,Request completed with account closure,1013355.0
20186006293,Request completed with account closure,8258650.0
20186006426,Request deleted,15.0
20186006523,Request completed with account closure,12437806.0
20186006624,Request completed with account closure,8717613.0
20186006697,Request completed with account closure,7223848.0
20186006820,Request completed with account closure,19045694.0
20186006892,Request completed with account closure,9969129.0
20186006900,Request completed with account closure,9642655.0
20186007004,Request completed with account closure,6885908.0
20186007050,Request completed with account closure,10940712.0
20186007057,Request completed with account closure,6969592.0
20186007156,Request deleted,112.0
20186007418,Request completed with account closure,13448883.0
20186007652,Request completed with account closure,10233754.0
20186007839,Request completed with account closure,12146821.0
20186007961,Request completed with account closure,6468846.0
20186008038,Request completed with account closure,6091819.0
20186008108,Request completed with account closure,6712880.0
20186008133,Request completed with account closure,7858727.0
20186008162,Request completed with account closure,6709972.0
20186008189,Request completed with account closure,7830629.0
20186008292,Request completed with account closure,9201727.0
20186008309,Request completed with account closure,6694866.0
20186008313,Request completed with account closure,12220697.0
20186008378,Request completed with account closure,17487148.0
20186008424,Request completed with account closure,6546510.0
20186008472,Request completed with account closure,6508395.0
20186008491,Request completed with account closure,7058393.0
20187000316,Request completed with account closure,7473476.0
20187000337,Request completed with account closure,11615795.0
20187000418,Request completed with account closure,16534944.0
20187000535,Request completed with account closure,6368214.0
20187000570,Request completed with account closure,8698684.0
20187000587,Request completed with account closure,7249567.0
20187000740,Request completed with account closure,7853569.0
20187000762,Request completed with account closure,3685130.0
20187000911,Request completed with account closure,7175176.0
20187000924,Request completed with account closure,6114236.0
20187000966,Request completed with account closure,5888188.0
20187000991,Request completed with account closure,6197037.0
20187001070,Request completed with account closure,7767961.0
20187001108,Request completed with account closure,226497.0
20187001196,Request completed with account closure,18051416.0
20187001229,Request completed with account closure,6090197.0
20187001239,Request completed with account closure,6463987.0
20187001243,Request completed with account closure,6457831.0
20187001401,Request deleted,21.0
20187001558,Request completed with account closure,12143281.0
20187002005,Request completed with account closure,5916693.0
20187002160,Request completed with account closure,5465196.0
20187002183,Request completed with account closure,9245917.0
20187002262,Request completed with account closure,7308964.0
20187002277,Request completed with account closure,5757135.0
20187002521,Request completed with account closure,6112309.0
20187002545,Request completed with account closure,5336318.0
20187002574,Request completed with account closure,5675904.0
20187002675,Request completed with account closure,8433941.0
20187002702,Request completed with account closure,5581904.0
20187002712,Request completed with account closure,5581385.0
20187002954,Request completed with account closure,5294836.0
20187002969,Request completed with account closure,8012397.0
20187003136,Request completed with account closure,5495485.0
20187003198,Request completed with account closure,7409503.0
20187003239,Request deleted,6640293.0
20187003272,Request completed with account closure,5483674.0
20187003276,Request completed with account closure,12504278.0
20187003285,Request completed with account closure,6260380.0
20187003644,Request completed with account closure,8001337.0
20187003650,Request completed with account closure,5495509.0
20187003709,Request completed with account closure,5771026.0
