,0
SR_Number,1-694339964
Status,-306.91394235978385
ACTIVITY,-14.712567017787386
Involved_ST_Function_Div,-56.32934809157912
Involved_Org_line_3,-244.60074284077075
Involved_ST,-94.61795350279154
SR_Latest_Impact,1037.5043983316732
Product,-273.2067766157968
Country,-133.76817530706828
Owner_Country,-458.88210853492103
time_from_start,-306.16532058165404
time_from_previous_event(start),-1.2254221698306538
daytime,16086.99163669682
weekday,-7.31478020615169
# ACTIVITY=In Progress,-72.17726825286357
# ACTIVITY=Awaiting Assignment,0.2296375917851298
# ACTIVITY=Resolved,5.817343057989719
# ACTIVITY=Assigned,43.6287462962673
# ACTIVITY=Closed,2.8035363139896075
# ACTIVITY=Wait - User,27.212384006809668
# ACTIVITY=Wait - Implementation,6.3115004334009575
# ACTIVITY=Wait,26.458255757780712
# ACTIVITY=Wait - Vendor,1.526987095209069
# ACTIVITY=In Call,1.1527852827688425
# ACTIVITY=Wait - Customer,0.43207542707547214
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
