,0
SR_Number,1-731830191
Status,-218.73292948240953
ACTIVITY,31.166603155126445
Involved_ST_Function_Div,-132.61468695604498
Involved_Org_line_3,-116.96163527458195
Involved_ST,-169.44816488864
SR_Latest_Impact,-725.246406640269
Product,-356.01701564824907
Country,-73.66363999996997
Owner_Country,-305.5404061308081
time_from_start,-348.9443596328929
time_from_previous_event(start),-11.03737043735922
daytime,14684.709338030572
weekday,-5.999154703748221
# ACTIVITY=In Progress,4.153914445309763
# ACTIVITY=Awaiting Assignment,36.715358661191
# ACTIVITY=Resolved,3.3363886117335895
# ACTIVITY=Assigned,26.248165130610694
# ACTIVITY=Closed,2.974431588291689
# ACTIVITY=Wait - User,14.715110390063948
# ACTIVITY=Wait - Implementation,4.612277192144354
# ACTIVITY=Wait,21.752586099526557
# ACTIVITY=Wait - Vendor,1.5255369828921952
# ACTIVITY=In Call,0.38884350931639516
# ACTIVITY=Wait - Customer,0.4229646983840506
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
