,0
SR_Number,1-731966140
Status,-194.44822941350895
ACTIVITY,62.60162227797025
Involved_ST_Function_Div,-51.32438702175712
Involved_Org_line_3,-74.04419639537828
Involved_ST,-149.41364996929246
SR_Latest_Impact,-681.0800257519328
Product,-110.66126442441221
Country,-16.2715019095739
Owner_Country,-298.55601057565116
time_from_start,-368.51549211529834
time_from_previous_event(start),-8.402757824098645
daytime,14862.156499494005
weekday,-6.20868132250733
# ACTIVITY=In Progress,35.09846268362547
# ACTIVITY=Awaiting Assignment,-16.160587385165293
# ACTIVITY=Resolved,3.3505019932694418
# ACTIVITY=Assigned,29.974010746612404
# ACTIVITY=Closed,3.4581726527179595
# ACTIVITY=Wait - User,18.224280603647067
# ACTIVITY=Wait - Implementation,7.674025326261792
# ACTIVITY=Wait,21.882190499064205
# ACTIVITY=Wait - Vendor,0.9642767103857881
# ACTIVITY=In Call,-110.6042202476565
# ACTIVITY=Wait - Customer,0.4277187484168268
# ACTIVITY=Unmatched,-3.602759866203556e-06
# ACTIVITY=Cancelled,0.0
