,0
SR_Number,1-731849320
Status,-369.4110714453084
ACTIVITY,-18.83008245521607
Involved_ST_Function_Div,-139.12697334980544
Involved_Org_line_3,-405.9484557859849
Involved_ST,-47.532088740598816
SR_Latest_Impact,1272.7332981251845
Product,-150.70177407342774
Country,426.5417178263072
Owner_Country,-528.1587209007306
time_from_start,-481.3480649501182
time_from_previous_event(start),-3.3037297029081665
daytime,16697.983327089438
weekday,-6.6689249385954215
# ACTIVITY=In Progress,-6.317350737602323
# ACTIVITY=Awaiting Assignment,35.88299436409563
# ACTIVITY=Resolved,6.903437385463314
# ACTIVITY=Assigned,20.71289414455255
# ACTIVITY=Closed,2.981486356182473
# ACTIVITY=Wait - User,5.925761418954873
# ACTIVITY=Wait - Implementation,3.3185299907559545
# ACTIVITY=Wait,31.53438109442476
# ACTIVITY=Wait - Vendor,1.6107352022008208
# ACTIVITY=In Call,0.6017711625039642
# ACTIVITY=Wait - Customer,0.5270335304507202
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
